date,temperature,day_of_year,month,day_of_month,temperature_scaled
2026-01-01,14.819708016985402,1,1,1,-0.019843711239082754
2026-01-02,14.856762617378909,2,1,2,-0.013270038459480547
2026-01-03,15.746855062271008,3,1,3,0.1446368452790926
2026-01-04,16.204758335404144,4,1,4,0.22587119271017478
2026-01-05,15.32506292302082,5,1,5,0.06980879491574239
2026-01-06,14.52361286202947,6,1,6,-0.07237248336549826
2026-01-07,14.03624391491907,7,1,7,-0.15883418979924083
2026-01-08,14.307948000686729,8,1,8,-0.11063251622160464
2026-01-09,26.46045315734573,9,1,9,2.0452831191903873
2026-01-10,17.020503250991773,10,1,10,0.37058845020992026
2026-01-11,18.175819237120297,11,1,11,0.5755473262792785
2026-01-12,14.906667040434083,12,1,12,-0.004416742406204524
2026-01-13,15.146652277147052,13,1,13,0.03815784755922593
2026-01-14,19.989313939637576,14,1,14,0.8972704223399673
2026-01-15,12.2429911434451,15,1,15,-0.4769662653201615
2026-01-16,14.507197299008864,16,1,16,-0.075284686941962
2026-01-17,17.21900922122333,17,1,17,0.405804409341634
2026-01-18,15.584038360186378,18,1,18,0.11575234210830992
2026-01-19,17.69794416934585,19,1,19,0.49076988186700726
2026-01-20,21.7639073514275,20,1,20,1.2120922334527655
2026-01-21,17.751346589766666,21,1,21,0.5002437402747938
2026-01-22,17.54374039675127,22,1,22,0.46341335577707615
2026-01-23,17.41467383911891,23,1,23,0.4405162982550774
2026-01-24,13.614280626981738,24,1,24,-0.23369260280188509
2026-01-25,20.86029881586976,25,1,25,1.0517875271401589
2026-01-26,16.79728610420998,26,1,26,0.33098860387081186
2026-01-27,19.18413693751627,27,1,27,0.7544279659270782
2026-01-28,17.918239144112693,28,1,28,0.5298513201696511
2026-01-29,21.08967469630866,29,1,29,1.0924799638558629
2026-01-30,17.289396843274147,30,1,30,0.4182915280848565
2026-01-31,20.216553609209534,31,1,31,0.9375838844862961
2026-02-01,17.245322004316506,32,2,1,0.41047242961815256
2026-02-02,19.27558912029187,33,2,2,0.7706520438597199
2026-02-03,17.628631548422455,34,2,3,0.47847347373931776
2026-02-04,16.908684776708608,35,2,4,0.35075128956466073
2026-02-05,16.994108041657796,36,2,5,0.3659058071030452
2026-02-06,21.291015790464748,37,2,6,1.1281988882542793
2026-02-07,21.36114167833793,38,2,7,1.1406395740358524
2026-02-08,20.27260048347253,39,2,8,0.9475268823276387
2026-02-09,20.178453740236414,40,2,9,0.9308247757949257
2026-02-10,20.438401993770377,41,2,10,0.976940905512001
2026-02-11,20.99246864341101,42,2,11,1.0752351203773232
2026-02-12,21.409511996535517,43,2,12,1.1492207121590394
2026-02-13,19.60238505918928,44,2,13,0.8286272897185554
2026-02-14,18.10522562802324,45,2,14,0.5630236643963531
2026-02-15,18.61092867610601,46,2,15,0.6527379327042119
2026-02-16,21.297846996950152,47,2,16,1.1294107786983283
2026-02-17,21.31791944988512,48,2,17,1.1329717329678979
2026-02-18,20.93356046931409,49,2,18,1.0647845135310858
2026-02-19,19.537308287423357,50,2,19,0.8170823425703195
2026-02-20,18.100814745289625,51,2,20,0.5622411515787255
2026-02-21,23.34482427257747,52,2,21,1.4925548594428486
2026-02-22,17.52489038576119,53,2,22,0.46006926886681976
2026-02-23,17.138649153204135,54,2,23,0.3915481284454746
2026-02-24,17.912950572807635,55,2,24,0.5289131009779218
2026-02-25,21.581953723619534,56,2,25,1.1798127432526586
2026-02-26,19.964037068239826,57,2,26,0.8927861780168249
2026-02-27,19.36785240761468,58,2,27,0.7870200158251351
2026-02-28,20.662971364126545,59,2,28,1.0167806431252944
2026-03-01,23.457452835417683,60,3,1,1.5125357338791081
2026-03-02,20.93472201070302,61,3,2,1.0649905768249734
2026-03-03,21.75434828384199,62,3,3,1.2103964067074242
2026-03-04,24.155542437940767,63,3,4,1.6363803461295605
2026-03-05,19.75195382791464,64,3,5,0.8551615427723491
2026-03-06,23.103412861961587,65,3,6,1.4497272590424113
2026-03-07,22.37433861706752,66,3,7,1.3203858151441523
2026-03-08,21.170975746142247,67,3,8,1.1069031796662752
2026-03-09,19.75667991552356,68,3,9,0.8559999745227617
2026-03-10,23.54948045557968,69,3,10,1.5288618973029753
2026-03-11,23.144292140503268,70,3,11,1.4569794489930634
2026-03-12,22.01033433240709,71,3,12,1.2558096213026413
2026-03-13,27.49378117461764,72,3,13,2.228600715046339
2026-03-14,22.918391475830347,73,3,14,1.4169035330613229
2026-03-15,19.673477901594826,74,3,15,0.8412395181053921
2026-03-16,23.75604248121513,75,3,16,1.5655070412472933
2026-03-17,12.889565338029929,76,3,17,-0.36226074595689467
2026-03-18,22.74880680234689,77,3,18,1.3868183576694093
2026-03-19,21.29980059984615,78,3,19,1.129757357693735
2026-03-20,26.520988785469637,79,3,20,2.0560224445796305
2026-03-21,20.431132808602094,80,3,21,0.975651315443206
2026-03-22,21.92773688479484,81,3,22,1.2411564179954369
2026-03-23,20.81963115169607,82,3,23,1.0445728786444366
2026-03-24,11.631174450081662,83,3,24,-0.5855056288690454
2026-03-25,17.993207206893757,84,3,25,0.5431510321732853
2026-03-26,19.55394159830216,85,3,26,0.8200331757137747
2026-03-27,23.795666855420546,86,3,27,1.5725366048468665
2026-03-28,22.791509527894124,87,3,28,1.3943940363048173
2026-03-29,21.026717832255176,88,3,29,1.0813110990152635
2026-03-30,24.975119475577507,89,3,30,1.7817774413858825
2026-03-31,22.18170458146441,90,3,31,1.2862115667965441
2026-04-01,11.574505747535454,91,4,1,-0.5955589421804113
2026-04-02,22.932328752923983,92,4,2,1.419376076229492
