date,temperature,day_of_year,month,day_of_month,temperature_scaled
2026-01-01,16.990471380946165,1,1,1,0.3243009189090356
2026-01-02,14.45391525937388,2,1,2,-0.10970139391735748
2026-01-03,13.889880085555866,3,1,3,-0.20620726968750225
2026-01-04,14.285659425319537,4,1,4,-0.13848980530123634
2026-01-05,15.320671379255131,5,1,5,0.038599744577351484
2026-01-06,15.316989621771112,6,1,6,0.03796979941282675
2026-01-07,13.902396856375985,7,1,7,-0.20406566223839043
2026-01-08,17.8267951051319,8,1,8,0.46739510376909976
2026-01-09,16.727643803165986,9,1,9,0.2793313731295985
2026-01-10,16.240938691838405,10,1,10,0.19605659667810582
2026-01-11,14.823356302966316,11,1,11,-0.046490386674699936
2026-01-12,18.250820417304976,12,1,12,0.5399454268685857
2026-01-13,16.614772122909102,13,1,13,0.260019137193843
2026-01-14,13.17958999098187,14,1,14,-0.3277372217359166
2026-01-15,17.344820906058594,15,1,15,0.3849297818542807
2026-01-16,27.71430313536297,16,1,16,2.15913821826795
2026-01-17,16.13589649278029,17,1,17,0.17808397744532725
2026-01-18,16.143551763489526,18,1,18,0.17939378690109486
2026-01-19,16.40125436904003,19,1,19,0.22348645486106078
2026-01-20,12.816394340010708,20,1,20,-0.3898796483076837
2026-01-21,18.78000211759513,21,1,21,0.630487906839016
2026-01-22,16.830645987412534,22,1,22,0.2969549477901359
2026-01-23,13.82519024996368,23,1,23,-0.21727563834081068
2026-01-24,15.020141311542734,24,1,24,-0.012820660968497677
2026-01-25,18.206368443537304,25,1,25,0.532339736909355
2026-01-26,18.164913629933192,26,1,26,0.525246858171541
2026-01-27,18.203999348235183,27,1,27,0.5319343869816784
2026-01-28,19.638786632926237,28,1,28,0.7774251114620172
2026-01-29,19.48233024807761,29,1,29,0.7506555744889217
2026-01-30,17.746743739061838,30,1,30,0.45369839202523177
2026-01-31,17.448148649590824,31,1,31,0.40260905939548614
2026-02-01,18.637925926053786,32,2,1,0.6061788071104088
2026-02-02,19.72987428971881,33,2,2,0.7930101219341725
2026-02-03,20.02991092183842,34,2,3,0.8443461011246656
2026-02-04,20.494282186489865,35,2,4,0.923799577889816
2026-02-05,33.413894224940115,36,2,5,3.134332772019002
2026-02-06,17.777745701316466,37,2,6,0.4590027979503508
2026-02-07,21.531501439931784,38,2,7,1.1012667945910293
2026-02-08,21.608189011679883,39,2,8,1.114387964361594
2026-02-09,16.870059483500256,40,2,9,0.30369855906416615
2026-02-10,18.80436404602009,41,2,10,0.6346562093620406
2026-02-11,18.872579829862183,42,2,11,0.646327864369769
2026-02-12,20.82153780539758,43,2,12,0.9797926995414448
