date,temperature,day_of_year,month,day_of_month,temperature_scaled
2026-01-01,18.5531770964515,1,1,1,0.6437501837153776
2026-01-02,16.614233835628735,2,1,2,0.3003607929694365
2026-01-03,15.155803822652777,3,1,3,0.04207092770081716
2026-01-04,14.681574498752347,4,1,4,-0.04191570661612867
2026-01-05,14.476208795680993,5,1,5,-0.07828624157848744
2026-01-06,19.774362419779397,6,1,6,0.8600237037499504
2026-01-07,16.746455345749066,7,1,7,0.32377739557000074
2026-01-08,14.784421043248235,8,1,8,-0.02370144889732248
2026-01-09,19.26924448572728,9,1,9,0.7705666561231919
2026-01-10,15.706597762889306,10,1,10,0.13961725584046597
2026-01-11,14.70113580428852,11,1,11,-0.0384513737880443
2026-01-12,16.300728180857806,12,1,12,0.2448385309402141
2026-01-13,16.257420626059222,13,1,13,0.23716870626949532
2026-01-14,17.57249008827901,14,1,14,0.4700692302531747
2026-01-15,18.25498857082363,15,1,15,0.5909406053168152
2026-01-16,17.015427460048016,16,1,16,0.3714127092601866
2026-01-17,14.494417411276926,17,1,17,-0.075061471910312
2026-01-18,18.51366085443288,18,1,18,0.6367518055031218
2026-01-19,19.353261003275733,19,1,19,0.7854460914096666
2026-01-20,19.08591803806266,20,1,20,0.7380993021561348
2026-01-21,16.9573883216656,21,1,21,0.36113390184418204
2026-01-22,17.959674989919986,22,1,22,0.5386401833939611
2026-01-23,17.661377663868848,23,1,23,0.4858113362979518
2026-01-24,8.152972105421703,24,1,24,-1.1981397403802745
2026-01-25,19.88758549276694,25,1,25,0.8800756582538064
2026-01-26,16.76706692278547,26,1,26,0.3274277328562196
2026-01-27,16.535151923897523,27,1,27,0.28635528283559075
2026-01-28,19.964325097407183,28,1,28,0.8936663427343389
2026-01-29,14.530851543632648,29,1,29,-0.06860893935570817
2026-01-30,16.61944425090117,30,1,30,0.30128356433778286
2026-01-31,19.945577417826264,31,1,31,0.8903461041284603
2026-02-01,13.011479277115289,32,2,1,-0.3376917575369293
2026-02-02,23.86794484026582,33,2,2,1.585002511403477
2026-02-03,15.308052578953914,34,2,3,0.06903438182782977
2026-02-04,19.772077590303,35,2,4,0.8596190574574509
2026-02-05,20.15222148769194,36,2,5,0.9269430395242516
2026-02-06,21.21804413503837,37,2,6,1.1157016261784134
2026-02-07,22.686592317446756,38,2,7,1.3757834325043443
2026-02-08,19.091910789538776,39,2,8,0.7391606262907063
2026-02-09,14.50363242473368,40,2,9,-0.07342948095907188
2026-02-10,22.7105186771996,41,2,10,1.3800208221507084
2026-02-11,22.05037322611318,42,2,11,1.2631081982320078
2026-02-12,17.60962319506797,43,2,12,0.47664555209528703
2026-02-13,18.20864001891247,44,2,13,0.582732216074947
2026-02-14,9.631256439200056,45,2,14,-0.9363336488961878
2026-02-15,22.642020334356676,46,2,15,1.3678896759272972
2026-02-16,20.733759535561344,47,2,16,1.0299341893883902
2026-02-17,18.74159552261191,48,2,17,0.6771193337425309
2026-02-18,17.9035132454592,49,2,18,0.5286938649001264
2026-02-19,18.17927461107375,50,2,19,0.5775315638895578
2026-02-20,22.27182021691198,51,2,20,1.302326750311069
2026-02-21,21.57813224060847,52,2,21,1.179473701248886
2026-02-22,19.71980009684762,53,2,22,0.850360644903517
2026-02-23,21.70616444401591,54,2,23,1.2021483721442512
2026-02-24,21.670449601436427,55,2,24,1.1958232267510065
2026-02-25,20.709082902827763,56,2,25,1.025563925414575
2026-02-26,20.609827730529062,57,2,26,1.0079857044151779
2026-02-27,20.852801954028525,58,2,27,1.0510167575977472
2026-02-28,30.49211727933176,59,2,28,2.7581521254265726
2026-03-01,19.09488922764367,60,3,1,0.7396881115796672
2026-03-02,21.832926310288578,61,3,2,1.2245980646694046
